Proteins,MNC...Maximum.Neighborhood.Component,Degree.Centrality,Eccentricity.Centrality,Closeness.centrality..Latora.,Radiality.Centrality,Shortest.Paths.Betweenness.Centrality,clustering.coefficient,Average.Distance,K.core.Decomposition,modularity,DMNC...Density.of.Maximum.Neighborhood.Component,Stress.Centrality,MCC,classes
AAAS,44,44,4,302.8333333,2.475714286,8.848207437,0.903805497,2.524216524,43,4,0.496984807,4243,9,0
ABCC8,29,30,3,332.8333333,2.774285714,228.797573,0.381609195,2.226495726,27,1,0.408200739,2397,63,1
ABCC9,43,43,3,330.3333333,2.715714286,280.5301194,0.520487265,2.284900285,32,2,0.492111402,11816,73,1
ACTA2,72,72,3,372.8333333,2.997142857,1348.954023,0.363067293,2.004273504,32,2,0.517407214,10390,265,0
ACTB,120,120,3,405.1666667,3.137142857,2480.278563,0.316526611,1.864672365,43,3,0.560608358,6026,961,0
ACTC1,75,76,3,365,2.918571429,503.1302864,0.445263158,2.082621083,32,2,0.541691056,702,440,0
ACTG2,41,42,3,326.1666667,2.682857143,91.80956281,0.638792102,2.317663818,32,2,0.48827895,24137,108,0
ACTN1,52,52,3,335.3333333,2.732857143,323.4140426,0.378582202,2.267806268,32,2,0.523125199,0,102,0
ACTN2,99,99,3,376.1666667,2.948571429,1293.37065,0.318903319,2.052706553,32,2,0.5582545,21,612,0
ACTN3,50,50,3,323.6666667,2.638571429,88.24729153,0.662040816,2.361823362,32,2,0.533809326,160,228,0
ACTN4,51,52,3,353.3333333,2.887142857,740.4808906,0.33107089,2.113960114,32,2,0.523480786,1151,98,0
ACVR1,29,29,4,308.4166667,2.567142857,20.20828161,0.736453202,2.433048433,24,3,0.415425531,6587,87,1
ACVR1B,28,28,4,316.5833333,2.64,37.65915362,0.658730159,2.36039886,24,3,0.417515483,21,40,1
ACVR1C,21,21,4,292.75,2.455714286,9.086344778,0.8,2.544159544,20,3,0.433502711,0,10,0
ACVR2A,24,25,4,300.0833333,2.507142857,35.32759704,0.736666667,2.492877493,23,3,0.391448216,3303,23,0
ACVR2B,36,36,4,327.9166667,2.714285714,182.3392026,0.457142857,2.286324786,27,3,0.415392612,9562,48,0
ADAM10,44,44,3,339.8333333,2.794285714,268.7144067,0.406976744,2.206552707,31,3,0.496984807,410,93,1
ADAM17,34,34,3,337.8333333,2.805714286,116.0083812,0.524064171,2.195156695,28,3,0.404373851,8689,50,1
ADCY8,27,27,3,312.5,2.608571429,61.40838789,0.41025641,2.391737892,23,1,0.398885812,3300,19,0
AGRN,14,16,4,301.8333333,2.521428571,69.4449126,0.341666667,2.478632479,15,3,0.463179977,71,9,0
AKAP1,17,17,3,306.1666667,2.582857143,28.22646805,0.441176471,2.417378917,17,1,0.475931074,2559,12,0
AKAP5,36,36,3,310.5,2.565714286,104.4135093,0.420634921,2.434472934,26,1,0.415392612,6872,56,0
AKAP9,63,63,3,361.5,2.925714286,600.8133066,0.358934972,2.075498575,32,1,0.523066558,1986,343,0
AKT1,204,205,3,448.8333333,3.268571429,7337.497089,0.211286466,1.733618234,43,3,0.542256648,2008,4781,1
AKT2,68,68,3,358.8333333,2.888571429,186.7499584,0.522827041,2.112535613,38,3,0.523970223,14953,300,1
ALDOA,22,23,3,316.6666667,2.655714286,113.4568983,0.383399209,2.344729345,17,1,0.372449572,2046,16,1
ALDOC,14,15,3,308.3333333,2.607142857,45.70608144,0.438095238,2.393162393,13,1,0.402235243,3738,7,0
ALYREF,72,72,4,340.9166667,2.722857143,192.6297877,0.669014085,2.277777778,43,4,0.517407214,676,66,0
ANK1,38,38,3,337.3333333,2.79,220.1566323,0.517780939,2.210826211,30,1,0.441634123,7091,41,0
ANK2,85,85,3,366.1666667,2.902857143,888.5030245,0.332212885,2.098290598,32,1,0.567233054,1579,774,0
ANK3,48,49,3,337.1666667,2.757142857,203.8752651,0.461734694,2.243589744,31,1,0.5107413,9053,137,0
ANKRD1,36,36,3,321,2.655714286,82.37754969,0.573015873,2.344729345,31,2,0.415392612,463,42,0
ANP32A,8,10,4,293.8333333,2.491428571,25.39195184,0.333333333,2.508547009,10,4,0.341375545,0,8,0
APH1A,12,13,4,278.1666667,2.328571429,39.20106361,0.564102564,2.670940171,12,3,0.473029879,10861,7,1
AR,93,93,3,388.6666667,3.072857143,779.7228873,0.45371669,1.928774929,43,3,0.549519469,2417,1299,1
ARHGAP24,9,9,3,309,2.63,7.020799937,0.444444444,2.37037037,9,2,0.305911818,0,6,0
ASPH,13,14,3,313,2.65,105.4148488,0.351648352,2.35042735,13,1,0.524201426,1714,8,1
ATF3,28,29,3,332.3333333,2.772857143,57.42724909,0.68226601,2.227920228,28,3,0.425176318,182,14,1
ATM,102,102,3,380.6666667,2.978571429,575.3035544,0.473500291,2.022792023,43,3,0.570462924,2646,2174,1
ATP1A1,25,27,3,329.6666667,2.755714286,468.8888142,0.341880342,2.245014245,23,1,0.402679423,1173,28,1
ATP1A2,33,33,3,318.8333333,2.645714286,203.7842746,0.412878788,2.354700855,25,1,0.410488347,3999,55,1
ATP1A3,28,30,3,315,2.621428571,224.4629528,0.367816092,2.378917379,23,1,0.413685066,620,25,1
ATP1A4,20,20,3,302.1666667,2.54,101.1698132,0.510526316,2.46011396,18,1,0.450147363,917,14,1
ATP1B1,28,33,3,341,2.835714286,812.0459141,0.274621212,2.165242165,23,1,0.375380893,9400,26,0
ATP2A1,44,44,3,334.1666667,2.745714286,164.1414261,0.473572939,2.254985755,32,2,0.496984807,1016,89,1
ATP2A2,67,68,3,357.1666667,2.874285714,685.2429553,0.348551361,2.126780627,32,2,0.514790937,4759,245,0
ATP2A3,13,13,4,294.3333333,2.491428571,13.24973051,0.487179487,2.508547009,13,2,0.524201426,3421,8,0
ATP2B4,26,26,3,319.5,2.671428571,56.04594682,0.461538462,2.329059829,23,2,0.38148475,970,44,0
AURKAIP1,79,82,4,329,2.588571429,703.5037426,0.905149051,2.411680912,78,5,0.563071805,7206,4,0
BMP2,63,63,3,348.6666667,2.815714286,260.1397826,0.501280082,2.185185185,35,3,0.523066558,1579,395,0
BMP4,86,86,3,367.3333333,2.91,785.5895333,0.356497948,2.091168091,35,3,0.558613197,9867,482,0
BMPR1A,31,31,3,320,2.661428571,31.26302834,0.627956989,2.339031339,27,3,0.407189449,96,62,0
BMPR1B,26,26,4,305.5833333,2.551428571,17.21312465,0.753846154,2.448717949,24,3,0.38148475,0,42,0
BMPR2,33,33,3,326.8333333,2.714285714,73.54899047,0.613636364,2.286324786,27,3,0.410488347,6225,71,0
BRAF,31,31,3,332.6666667,2.77,58.33817225,0.492473118,2.230769231,28,3,0.407189449,6649,40,1
BRCA1,107,107,3,387.6666667,3.024285714,968.2239616,0.459707283,1.977207977,43,3,0.567063034,1907,3256,0
BRCA2,54,54,4,352.0833333,2.87,162.807686,0.623340321,2.131054131,43,3,0.498846613,115,330,0
BSG,22,23,3,321.8333333,2.7,118.6634883,0.501976285,2.300569801,19,3,0.401099539,85,12,0
BZRAP1,17,19,3,291.1666667,2.448571429,72.51766402,0.286549708,2.551282051,15,1,0.511185228,5068,16,0
CACNA1A,66,66,3,342.8333333,2.757142857,480.3326995,0.323076923,2.243589744,32,1,0.505010846,380,311,1
CACNA1C,134,134,3,393,2.992857143,2357.055615,0.243294804,2.008547009,32,1,0.566912637,306,2042,1
CACNA1D,68,68,3,346,2.778571429,485.9615213,0.321773486,2.222222222,32,1,0.523970223,0,260,1
CACNA1E,45,45,3,333,2.732857143,221.7418071,0.382828283,2.267806268,29,1,0.48908485,3210,70,1
CACNA1F,43,43,3,322,2.644285714,127.1686363,0.468438538,2.356125356,29,1,0.492111402,0,61,1
CACNA1S,62,62,3,338,2.727142857,483.8012227,0.319407721,2.273504274,32,1,0.516920387,450,150,1
CACNA2D1,64,65,3,339,2.727142857,258.8027499,0.426442308,2.273504274,32,1,0.521046771,232,420,1
CACNA2D2,36,36,3,323.3333333,2.675714286,129.0419851,0.492063492,2.324786325,29,1,0.415392612,760,52,1
CACNA2D3,23,24,4,300.25,2.494285714,80.63646729,0.648550725,2.505698006,24,1,0.377722506,4436,10,1
CACNA2D4,23,25,4,307.1666667,2.567142857,145.9300954,0.746666667,2.433048433,25,1,0.345802294,4307,15,0
CACNB1,37,37,3,319.1666667,2.637142857,100.3279615,0.504504505,2.363247863,29,1,0.428078211,2256,62,1
CACNB2,80,80,3,361.6666667,2.878571429,821.8890674,0.344936709,2.122507123,32,1,0.562646438,891,718,1
CACNB3,35,35,3,317.6666667,2.63,48.81383015,0.574789916,2.37037037,29,1,0.403736298,0,49,1
CACNB4,41,41,3,323.1666667,2.66,206.2250458,0.475609756,2.34045584,29,1,0.474096574,1043,87,1
CACNG1,30,31,4,307.75,2.555714286,88.19664025,0.580645161,2.444444444,28,1,0.419867845,536,25,1
CACNG2,39,39,4,308.4166667,2.538571429,126.2470076,0.543859649,2.461538462,28,1,0.455923997,4645,38,1
CACNG3,42,42,3,314.6666667,2.584285714,105.1565294,0.509872242,2.415954416,29,1,0.488480697,136,63,0
CALM1,116,116,3,396.8333333,3.077142857,2727.738186,0.218290855,1.924501425,32,1,0.542962468,1044,650,0
CALM2,64,65,3,356.6666667,2.878571429,595.9424356,0.25,2.122507123,32,1,0.508526238,870,149,0
CALM3,94,94,3,376.3333333,2.964285714,1259.78116,0.239075726,2.037037037,32,1,0.546380568,3307,380,0
CAMK1,15,15,4,303.0833333,2.561428571,29.44073965,0.40952381,2.438746439,15,1,0.445360252,493,11,0
CAMK2A,70,70,3,363.5,2.922857143,771.1837421,0.289855072,2.078347578,32,1,0.538184233,2405,241,1
CAMK2B,62,62,3,357.8333333,2.897142857,518.1354688,0.3188789,2.103988604,32,1,0.516920387,524,168,1
CAMK2D,58,58,3,362.8333333,2.951428571,667.6882684,0.31276467,2.04985755,32,1,0.499491299,301,128,0
CAMK2G,34,34,3,333.3333333,2.767142857,111.8493581,0.459893048,2.233618234,28,1,0.404373851,341,63,1
CAMKK1,14,16,4,302,2.548571429,35.5169042,0.358333333,2.451566952,15,1,0.487557871,1959,7,0
CAMKK2,20,21,3,309.5,2.6,37.10104851,0.438095238,2.4002849,19,1,0.409835658,728,19,0
CASP3,116,116,3,392.6666667,3.041428571,1372.811066,0.354122939,1.96011396,43,3,0.542962468,3777,2183,1
CASQ2,76,76,3,353.1666667,2.817142857,610.2862608,0.386666667,2.183760684,32,2,0.542128906,12682,562,0
