Entry,Entry name,Protein names,Gene names,Organism,Cross-reference (DrugBank)
A0A024RCX5,A0A024RCX5_HUMAN,"Cyclin-dependent kinase inhibitor 1A (P21, Cip1), isoform CRA_a",CDKN1A hCG_15367,Homo sapiens (Human),
P38936,CDN1A_HUMAN,Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21),CDKN1A CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1,Homo sapiens (Human),
F5H437,F5H437_HUMAN,G1/S-specific cyclin-D1,CCND1,Homo sapiens (Human),
P24385,CCND1_HUMAN,G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene),CCND1 BCL1 PRAD1,Homo sapiens (Human),DB01169;
Q5MGB2,Q5MGB2_HUMAN,Cyclin D1 (Fragment),CCND1,Homo sapiens (Human),
Q6FI00,Q6FI00_HUMAN,"CCND1 protein (Cyclin D1 (PRAD1: parathyroid adenomatosis 1)) (Cyclin D1, isoform CRA_c) (cDNA, FLJ93625, Homo sapiens cyclin D1 (PRAD1: parathyroid adenomatosis 1) (CCND1),mRNA)",CCND1 hCG_2016647,Homo sapiens (Human),
A0A024RD44,A0A024RD44_HUMAN,"Mitochondrial ribosomal protein L2, isoform CRA_a",MRPL2 hCG_17645,Homo sapiens (Human),
C9IY40,C9IY40_HUMAN,"39S ribosomal protein L2, mitochondrial",MRPL2,Homo sapiens (Human),
C9J5E0,C9J5E0_HUMAN,"39S ribosomal protein L2, mitochondrial",MRPL2,Homo sapiens (Human),
C9JZG7,C9JZG7_HUMAN,"39S ribosomal protein L2, mitochondrial",MRPL2,Homo sapiens (Human),
C9JZW2,C9JZW2_HUMAN,"39S ribosomal protein L2, mitochondrial",MRPL2,Homo sapiens (Human),
Q5T653,RM02_HUMAN,"39S ribosomal protein L2, mitochondrial (L2mt) (MRP-L2) (Mitochondrial large ribosomal subunit protein uL2m)",MRPL2 CGI-22,Homo sapiens (Human),
Q96A35,RM24_HUMAN,"39S ribosomal protein L24, mitochondrial (L24mt) (MRP-L24) (Mitochondrial large ribosomal subunit protein uL24m)",MRPL24,Homo sapiens (Human),
X6RHI2,X6RHI2_HUMAN,"39S ribosomal protein L24, mitochondrial (Fragment)",MRPL24,Homo sapiens (Human),
X6RIR5,X6RIR5_HUMAN,"39S ribosomal protein L24, mitochondrial (Fragment)",MRPL24,Homo sapiens (Human),
X6RJ73,X6RJ73_HUMAN,"39S ribosomal protein L24, mitochondrial (Fragment)",MRPL24,Homo sapiens (Human),
M0QX10,M0QX10_HUMAN,Nuclear pore glycoprotein p62 (Fragment),NUP62,Homo sapiens (Human),
M0QX13,M0QX13_HUMAN,Nuclear pore glycoprotein p62 (Fragment),NUP62,Homo sapiens (Human),
M0QX64,M0QX64_HUMAN,Nuclear pore glycoprotein p62 (Fragment),NUP62,Homo sapiens (Human),
M0QXN5,M0QXN5_HUMAN,Nuclear pore glycoprotein p62,NUP62,Homo sapiens (Human),
M0QYY0,M0QYY0_HUMAN,Nuclear pore glycoprotein p62 (Fragment),NUP62,Homo sapiens (Human),
M0QZL5,M0QZL5_HUMAN,Nuclear pore glycoprotein p62 (Fragment),NUP62,Homo sapiens (Human),
M0R0B7,M0R0B7_HUMAN,Nuclear pore glycoprotein p62 (Fragment),NUP62,Homo sapiens (Human),
M0R1S1,M0R1S1_HUMAN,Nuclear pore glycoprotein p62 (Fragment),NUP62,Homo sapiens (Human),
M0R302,M0R302_HUMAN,Nuclear pore glycoprotein p62 (Fragment),NUP62,Homo sapiens (Human),
P37198,NUP62_HUMAN,Nuclear pore glycoprotein p62 (62 kDa nucleoporin) (Nucleoporin Nup62),NUP62,Homo sapiens (Human),
A0A024R8B6,A0A024R8B6_HUMAN,"Nucleoporin 214kDa, isoform CRA_b",NUP214 hCG_30191,Homo sapiens (Human),
A0A0A0MSW3,A0A0A0MSW3_HUMAN,Nuclear pore complex protein Nup214,NUP214,Homo sapiens (Human),
B7ZAV2,B7ZAV2_HUMAN,"cDNA, FLJ79316, highly similar to Nuclear pore complex protein Nup214",NUP214,Homo sapiens (Human),
E9PKD2,E9PKD2_HUMAN,Nuclear pore complex protein Nup214 (Fragment),NUP214,Homo sapiens (Human),
E9PS86,E9PS86_HUMAN,Nuclear pore complex protein Nup214 (Fragment),NUP214,Homo sapiens (Human),
H0Y837,H0Y837_HUMAN,Nuclear pore complex protein Nup214 (Fragment),NUP214,Homo sapiens (Human),
H0YDH2,H0YDH2_HUMAN,Nuclear pore complex protein Nup214 (Fragment),NUP214,Homo sapiens (Human),
H0YDI2,H0YDI2_HUMAN,Nuclear pore complex protein Nup214 (Fragment),NUP214,Homo sapiens (Human),
H0YDS4,H0YDS4_HUMAN,Nuclear pore complex protein Nup214 (Fragment),NUP214,Homo sapiens (Human),
H0YED3,H0YED3_HUMAN,Nuclear pore complex protein Nup214 (Fragment),NUP214,Homo sapiens (Human),
H0YF36,H0YF36_HUMAN,Nuclear pore complex protein Nup214 (Fragment),NUP214,Homo sapiens (Human),
P35658,NU214_HUMAN,Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN),NUP214 CAIN CAN KIAA0023,Homo sapiens (Human),
Q9NQ50,RM40_HUMAN,"39S ribosomal protein L40, mitochondrial (L40mt) (MRP-L40) (Mitochondrial large ribosomal subunit protein mL40) (Nuclear localization signal-containing protein deleted in velocardiofacial syndrome) (Up-regulated in metastasis)",MRPL40 NLVCF URIM,Homo sapiens (Human),
A4D1V4,A4D1V4_HUMAN,"Mitochondrial ribosomal protein L32 (Mitochondrial ribosomal protein L32, isoform CRA_d) (cDNA, FLJ93927, Homo sapiens mitochondrial ribosomal protein L32 (MRPL32), nucleargene encoding mitochondrial protein, mRNA)",MRPL32 hCG_19886 tcag7.484,Homo sapiens (Human),
B3KQX1,B3KQX1_HUMAN,"Mitochondrial ribosomal protein L32, isoform CRA_a (cDNA FLJ33232 fis, clone ASTRO2002024, highly similar to 39S ribosomal protein L32, mitochondrial)",MRPL32 hCG_19886,Homo sapiens (Human),
