node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDKN1A	CCND1	4447168	4433391	9606.ENSP00000384849	9606.ENSP00000227507	0	0	0	0	0.084	0.993	0.9	0.857	0.999
MRPL2	MRPL24	4445791	4442484	9606.ENSP00000373404	9606.ENSP00000354525	0.135	0	0	0	0.47	0.981	0.9	0.2	0.999
NUP62	NUP214	4450981	4442243	9606.ENSP00000471191	9606.ENSP00000352400	0	0	0	0	0.182	0.953	0.9	0.916	0.999
MRPL40	MRPL32	4440454	4433279	9606.ENSP00000333401	9606.ENSP00000223324	0	0	0	0	0.851	0.989	0.9	0	0.999
MRPL19	MRPL44	4446201	4434620	9606.ENSP00000377486	9606.ENSP00000258383	0.185	0	0	0	0.467	0.99	0.9	0.086	0.999
MRPL24	MRPL17	4442484	4436789	9606.ENSP00000354525	9606.ENSP00000288937	0.185	0	0	0	0.872	0.919	0.9	0.228	0.999
MRPL18	MRPL13	4442794	4438233	9606.ENSP00000356001	9606.ENSP00000306548	0	0	0	0	0.607	0.978	0.9	0	0.999
SNRNP70	SNRPD1	4451051	4437667	9606.ENSP00000472998	9606.ENSP00000300413	0	0	0	0	0.63	0.991	0.9	0.761	0.999
MRPL40	MRPS9	4440454	4434635	9606.ENSP00000333401	9606.ENSP00000258455	0	0	0	0	0.208	0.982	0.9	0.472	0.999
CDK1	CCNA2	4446389	4436109	9606.ENSP00000378699	9606.ENSP00000274026	0	0.007	0	0	0.986	0.77	0.9	0.937	0.999
SNRPD1	SNRPG	4437667	4436020	9606.ENSP00000300413	9606.ENSP00000272348	0	0	0	0	0.977	0.981	0.9	0.807	0.999
MRPL17	MRPS9	4436789	4434635	9606.ENSP00000288937	9606.ENSP00000258455	0.295	0	0	0	0.845	0.944	0.9	0.386	0.999
CDC45	ORC2	4448376	4433622	9606.ENSP00000405726	9606.ENSP00000234296	0	0	0	0	0.39	0.964	0.9	0.952	0.999
MCM4	ORC2	4435007	4433622	9606.ENSP00000262105	9606.ENSP00000234296	0	0	0	0	0.84	0.97	0.9	0.741	0.999
NEB	TTN	4451845	4450840	9606.ENSP00000484342	9606.ENSP00000467141	0	0	0	0	0.926	0.454	0.9	0.92	0.999
ORC1	MCM7	4443772	4438312	9606.ENSP00000360623	9606.ENSP00000307288	0.052	0	0	0	0.83	0.976	0.9	0.73	0.999
MRPL1	MRPL11	4438965	4438456	9606.ENSP00000315017	9606.ENSP00000308897	0.167	0	0	0	0.506	0.99	0.9	0.451	0.999
MRPL17	MRPL32	4436789	4433279	9606.ENSP00000288937	9606.ENSP00000223324	0.262	0	0	0	0.89	0.944	0.9	0.379	0.999
E2F4	RBL1	4445201	4444239	9606.ENSP00000368686	9606.ENSP00000362768	0	0	0	0	0.145	0.827	0.9	0.98	0.999
HNRNPM	U2AF2	4439758	4438366	9606.ENSP00000325376	9606.ENSP00000307863	0	0	0	0	0.913	0.994	0.9	0.517	0.999
TP53	CREBBP	4435880	4435065	9606.ENSP00000269305	9606.ENSP00000262367	0	0	0	0	0	0.965	0.9	0.839	0.999
HNRNPK	HNRNPM	4444702	4439758	9606.ENSP00000365439	9606.ENSP00000325376	0	0	0	0	0.949	0.784	0.9	0.667	0.999
MRPL47	MRPL41	4448914	4443748	9606.ENSP00000417602	9606.ENSP00000360498	0	0	0	0	0.68	0.981	0.9	0.411	0.999
MRPL9	MRPL18	4443200	4442794	9606.ENSP00000357823	9606.ENSP00000356001	0	0	0	0	0.723	0.972	0.9	0	0.999
MRPL9	MRPL13	4443200	4438233	9606.ENSP00000357823	9606.ENSP00000306548	0	0	0	0	0.577	0.989	0.9	0.471	0.999
MRPL47	MRPL49	4448914	4436341	9606.ENSP00000417602	9606.ENSP00000279242	0	0	0	0	0.458	0.985	0.9	0	0.999
